Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Cycle Rate (cycle/hr),Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,ESD Susceptibility (V),Electrical Derating (0-1),FITs (per 1E6 hours),Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Initial Burn-in (hrs),Input Data Type,Junction Res (C/W),Laminate Thickness,Lead Bend (degrees),Lead Count,Lead Foot Length,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Load Type,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Number of Bits,Number of Contacts,Number of Devices,Number of Elements,Number of Failures,Number of Gates,Number of Throws,Number of Trans,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Production Year,Production Years,Quality Class,Quality Factor,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rotation,Seal Type,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Technology,Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C11,AVX,1210GC102KAT1A,CAPACITOR,"CAP,CER,1NF,10%,2KV,X7R,1210 ROHS",,,,,,,,,,,,,,63SN37PB,DISABLED,,,CHANNEL,,,,MM,top,1.0,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,0.0,LEADLESS,0.0,1.6080128,SIP,,ALLOY42,0.0,,0.0,0.0,,0.0,MM,0.0,1000.0,,in,BARIUMTITANATE,4.4406306,0.1,125.0,2000.0,125.0,0.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,0.6,MM,2.5,0.64,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,15.923567,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.5,-0.98,0,-1.962,0
C12,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,0.481,0,-1.961,0
C13,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,0.91,0,-1.963,0
C14,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,-0.513,0,-1.96,0
C15,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,-0.023,0,-1.962,0
C16,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,-1.044,0,1.959,0
C17,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,-0.001,0,1.959,0
C18,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,0.994,0,1.955,0
C19,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,-0.478,0,1.963,0
C20,PANASONIC,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68UF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,0.68,,TOP_BOTTOM,0.0,SQUARE,0,1.6,SILICON,0.185,MM,1.25,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,0.415,0.0,2,,LEADLESS,,1.6080128,DUAL_LONG,,COPPER,,,,0.0,,,MM,,,,in,BARIUMTITANATE,,0.1,125.0,100.0,125.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,3.2,SMT,1210,2.5,MM,2.5,1.0,1.27,MM,2.5,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,CC MODEL,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,0.0175,0.507,0,1.959,0
C21,PANASONIC,EEU-FC1J181,CAPACITOR,"CAP, 180UF, 63V, ELEC FC, RADIAL LEAD",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,180.0,,TOP_BOTTOM,5.0,ROUND,0,5.0,SILICON,0.185,MM,5.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,2.0,0.0,2,0.0,THRUHOLE,17.0,0.802,SIP,,COPPER,5.0,,0.762,0.508,3661.2,0.6,MM,0.6,3000.0,,in,ALUMINUM,,0.1,105.0,63.0,105.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,10.0,TH,RADIAL,20.0,MM,10.0,,,MM,,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,4.532,1.115,0,-1.45,0
C22,PANASONIC,EEU-FC1J181,CAPACITOR,"CAP, 180UF, 63V, ELEC FC, RADIAL LEAD",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,180.0,,TOP_BOTTOM,5.0,ROUND,0,5.0,SILICON,0.185,MM,5.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,2.0,0.0,2,0.0,THRUHOLE,17.0,0.802,SIP,,COPPER,5.0,,0.762,0.508,3661.2,0.6,MM,0.6,3000.0,,in,ALUMINUM,,0.1,105.0,63.0,105.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,10.0,TH,RADIAL,20.0,MM,10.0,,,MM,,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,270,,,,,DEFAULT,,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,4.532,2.843,0,-1.4689999999999999,0
C23,PANASONIC,EEU-FC1J181,CAPACITOR,"CAP, 180UF, 63V, ELEC FC, RADIAL LEAD",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,180.0,,TOP_BOTTOM,5.0,ROUND,0,5.0,SILICON,0.185,MM,5.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,2.0,0.0,2,0.0,THRUHOLE,17.0,0.802,SIP,,COPPER,5.0,,0.762,0.508,3661.2,0.6,MM,0.6,3000.0,,in,ALUMINUM,,0.1,105.0,63.0,105.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,10.0,TH,RADIAL,20.0,MM,10.0,,,MM,,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,4.532,-1.2169999999999999,0,1.455,0
C24,PANASONIC,EEU-FC1J181,CAPACITOR,"CAP, 180UF, 63V, ELEC FC, RADIAL LEAD",,,,,,,,,,,,,,63SN37PB,DISABLED,,,,,,,MM,top,180.0,,TOP_BOTTOM,5.0,ROUND,0,5.0,SILICON,0.185,MM,5.0,,500,0.5,,"CAP, PAPER & PLASTIC FILM",,,,MM,,,0,,15.0,2.0,0.0,2,0.0,THRUHOLE,17.0,0.802,SIP,,COPPER,5.0,,0.762,0.508,3661.2,0.6,MM,0.6,3000.0,,in,ALUMINUM,,0.1,105.0,63.0,105.0,-55.0,-55.0,N,DISABLED,ENABLED,,,0,1,0,,,,,0.435,10.0,TH,RADIAL,20.0,MM,10.0,,,MM,,,DEFAULT,350NM PLANAR,,0,QUALIFIED,,,,,,,,0,,,,,DEFAULT,,0.0635,,0.127,MM,,,0,,,BLACK BOX,,,C,,4.532,-1.2879999999999998,0,-1.443,0
